Team,Age,Year,Height(cm),Weight(kg),Blood type,Position,Salary(ten thousand),Name
1,18,1,178,88,3,3,560,ABCDEF
2,18,1,178,70,3,1,300,ABCDFE
3,18,1,182,86,3,1,500,ABCEDF
2,18,1,179,77,1,3,600,ABCEFD
4,18,1,191,105,1,1,500,ABCFDE
2,18,1,179,80,1,1,550,ABCFED
5,18,1,178,78,2,1,360,ABDCEF
2,18,1,176,88,4,1,550,ABDCFE
3,18,1,180,78,4,2,250,ABDECF
6,19,1,178,75,3,3,480,ABDEFC
1,19,1,178,78,3,1,470,ABDFCE
5,19,1,200,95,1,3,540,ABDFEC
5,19,1,190,92,1,3,360,ABECDF
2,19,1,184,95,3,1,300,ABECFD
2,19,1,185,85,4,1,"1,600",ABEDCF
1,19,1,188,88,1,1,560,ABEDFC
4,19,1,171,71,3,2,580,ABEFCD
4,19,1,183,86,2,1,280,ABEFDC
5,19,1,200,100,4,1,300,ABFCDE
5,19,1,185,92,1,1,360,ABFCED
1,19,1,177,81,4,1,340,ABFDCE
5,19,1,177,84,1,2,360,ABFDEC
5,19,1,182,80,1,3,600,ABFECD
2,19,2,175,74,3,4,580,ABFEDC
1,19,2,175,78,1,3,"1,000",ACBDEF
1,19,2,185,83,3,3,540,ACBDFE
2,19,2,178,77,1,1,550,ACBEDF
3,19,2,177,84,1,2,270,ACBEFD
6,20,2,173,78,1,2,500,ACBFDE
3,20,2,186,86,3,1,550,ACBFED
4,20,2,174,74,1,3,550,ACDBEF
6,20,2,178,79,1,3,500,ACDBFE
6,20,2,184,86,3,1,"1,200",ACDEBF
6,20,2,188,95,2,4,720,ACDEFB
3,20,2,183,91,3,4,270,ACDFBE
5,20,2,182,94,2,3,600,ACDFEB
1,20,2,172,81,4,2,620,ACEBDF
2,20,2,185,93,3,3,"1,275",ACEBFD
4,20,2,178,77,3,3,550,ACEDBF
5,20,2,185,84,3,1,630,ACEDFB
3,20,2,178,81,4,3,500,ACEFBD
5,20,2,175,78,2,1,540,ACEFDB
5,20,2,177,89,2,2,560,ACFBDE
1,20,2,182,87,1,1,495,ACFBED
6,20,2,184,78,3,1,600,ACFDBE
3,20,2,177,77,1,1,450,ACFDEB
4,20,2,184,82,3,1,"1,600",ACFEBD
5,20,2,187,88,1,4,540,ACFEDB
4,20,3,184,75,1,1,550,ADBCEF
3,20,1,184,77,3,1,550,ADBCFE
1,20,3,176,86,1,2,560,ADBECF
6,20,3,186,86,3,1,460,ADBEFC
2,20,3,180,87,1,2,655,ADBFCE
3,20,3,182,99,3,3,600,ADBFEC
5,20,3,174,83,3,4,510,ADCBEF
3,20,3,173,85,2,1,500,ADCBFE
6,21,3,184,76,2,3,"1,100",ADCEBF
5,21,3,184,84,3,1,250,ADCEFB
4,21,3,177,81,1,4,750,ADCFBE
5,21,3,190,98,2,1,630,ADCFEB
4,21,3,182,93,4,1,480,ADEBCF
5,21,1,170,71,1,1,400,ADEBFC
5,21,3,183,80,2,3,260,ADECBF
1,21,3,181,80,1,1,375,ADECFB
4,21,1,175,79,2,3,280,ADEFBC
5,21,3,175,78,4,1,500,ADEFCB
5,21,3,184,82,1,1,750,ADFBCE
5,21,3,191,98,1,3,470,ADFBEC
5,21,3,178,85,1,3,650,ADFCBE
3,21,3,178,84,4,3,800,ADFCEB
3,21,3,175,91,3,3,500,ADFEBC
2,21,3,177,80,3,3,"1,100",AEBCDF
3,21,3,167,67,3,3,700,AEBCFD
5,21,3,187,78,4,1,"2,600",AEBDCF
2,21,3,184,96,2,1,550,AEBDFC
2,21,4,174,75,4,4,640,AEBFCD
4,21,4,188,97,3,3,"10,000",AEBFDC
2,21,4,167,71,1,1,"1,056",AECBDF
5,21,4,172,70,1,3,600,AECBFD
3,21,4,178,90,2,4,450,AECDBF
2,21,4,179,81,2,1,637,AECDFB
4,21,4,183,74,3,1,580,AECFBD
2,21,4,182,83,4,1,800,AECFDB
1,22,4,178,85,2,1,470,AEDBCF
6,22,4,181,85,1,1,450,AEDBFC
3,22,4,182,93,1,1,500,AEDCBF
5,22,4,185,81,2,1,300,AEDCFB
1,22,4,187,86,3,1,610,AEDFBC
1,22,1,175,80,3,1,720,AEDFCB
6,22,3,183,81,3,1,450,AEFBCD
2,22,4,176,65,1,3,552,AEFBDC
1,22,4,178,86,1,1,765,AEFCBD
3,22,4,181,81,2,2,700,AEFDBC
3,22,4,181,85,2,1,700,AFBCDE
3,22,4,186,85,3,1,"2,400",AFBCED
3,22,4,189,82,1,1,330,AFBDCE
4,22,1,172,77,2,1,"1,100",AFBDEC
6,22,1,187,94,2,3,"1,600",AFBEDC
1,22,3,182,85,1,3,615,AFCBDE
3,22,1,180,80,3,1,"1,000",AFCBED
5,22,5,173,81,1,1,"2,200",AFCDBE
4,22,5,175,84,1,1,"2,900",AFCDEB
5,22,1,181,80,3,3,400,AFCEBD
3,22,1,171,70,1,3,600,AFCEDB
5,22,1,180,85,2,2,400,AFDBCE
4,22,1,180,79,4,3,750,AFDBEC
5,22,2,190,94,3,1,"1,080",AFDCBE
6,22,5,189,88,1,1,980,AFDCEB
5,23,1,181,75,2,1,"1,200",AFDEBC
3,23,5,196,90,3,1,"1,650",AFDECB
3,23,5,181,87,1,1,700,AFEBCD
2,23,1,180,87,1,1,300,AFEBDC
2,23,5,181,85,2,3,800,AFECBD
5,23,5,183,87,3,1,700,AFECDB
1,23,4,180,87,1,2,605,AFEDBC
1,23,1,187,87,3,1,"1,600",AFEDCB
5,23,1,179,83,1,2,400,BACDEF
4,23,5,175,80,3,1,"1,050",BACDFE
4,23,1,192,77,1,1,280,BACEDF
4,23,5,177,74,2,2,700,BACEFD
1,23,5,179,93,4,4,880,BACFDE
5,23,1,185,90,1,1,"1,600",BACFED
4,23,5,183,90,3,1,"1,100",BADCEF
1,23,5,182,77,2,1,"1,320",BADECF
5,23,1,181,86,2,1,740,BADEFC
6,23,1,174,75,1,1,720,BADFCE
6,23,1,178,83,2,1,300,BADFEC
3,23,1,175,72,3,1,"1,100",BAECDF
5,23,1,187,90,1,4,400,BAECFD
3,23,5,176,86,1,2,"1,800",BAEDCF
6,23,5,185,85,3,1,700,BAEDFC
2,23,1,177,80,3,1,"1,200",BAEFCD
6,23,1,180,81,1,2,800,BAEFDC
2,23,5,177,85,3,1,"1,840",BAFCDE
5,23,1,178,80,1,1,400,BAFCED
5,23,1,175,85,4,2,740,BAFDCE
4,23,1,183,85,3,1,"1,400",BAFDEC
1,23,1,178,93,3,3,"1,300",BAFECD
5,23,1,182,90,3,1,400,BAFEDC
5,23,2,188,90,1,4,240,BCADEF
1,23,1,178,73,1,1,340,BCADFE
6,23,1,188,101,1,1,"1,000",BCAEDF
6,23,2,183,79,1,4,300,BCAEFD
6,23,2,133,79,1,4,300,BCAFDE
5,23,6,189,90,1,1,380,BCAFED
4,23,6,182,83,1,1,400,BCDAEF
1,23,2,182,90,1,1,"2,100",BCDAFE
3,23,2,173,85,1,2,700,BCDEAF
2,23,2,180,71,1,1,"1,050",BCDEFA
2,23,2,180,86,1,2,"1,080",BCDFAE
4,23,2,175,84,3,1,780,BCEADF
2,24,6,180,95,1,1,"1,450",BCEAFD
2,24,1,179,82,3,4,840,BCEDAF
1,24,2,185,88,2,4,825,BCEDFA
6,24,2,186,89,1,4,300,BCEFAD
3,24,2,180,77,3,1,"4,300",BCEFDA
6,24,6,190,88,4,1,"1,150",BCFADE
6,24,1,175,81,3,1,550,BCFAED
1,24,2,180,85,3,1,"1,645",BCFDAE
4,24,2,175,83,3,1,"1,500",BCFDEA
4,24,2,182,84,1,1,750,BCFEAD
3,24,6,176,82,1,1,800,BCFEDA
2,24,3,183,89,3,1,"1,650",BDACEF
4,24,6,182,87,3,4,750,BDACFE
6,24,2,183,82,1,1,950,BDAECF
2,24,2,176,80,2,1,300,BDAEFC
4,24,6,178,73,3,1,"1,450",BDAFCE
3,24,2,185,79,3,4,"1,100",BDAFEC
5,24,6,183,81,3,3,"1,600",BDCAEF
2,24,4,181,95,1,1,"1,650",BDCAFE
3,24,7,178,92,1,1,"1,900",BDCEFA
5,24,3,178,82,2,1,"1,920",BDCFAE
4,24,7,186,85,1,3,"1,350",BDCFEA
5,24,7,180,82,3,4,500,BDEACF
5,24,1,178,82,3,1,"1,000",BDEAFC
5,24,2,173,75,1,3,360,BDECAF
2,24,3,187,90,2,1,"1,500",BDECFA
4,25,3,180,84,1,1,"3,600",BDEFAC
3,25,3,180,78,3,1,"1,600",BDEFCA
1,25,7,188,90,1,1,845,BDFAEC
5,25,4,176,88,1,2,"1,500",BDFCAE
4,25,3,185,95,1,4,"1,400",BDFEAC
1,25,3,182,83,2,1,"4,300",BDFECA
3,25,3,180,76,1,4,"1,000",BEACDF
1,25,3,182,90,3,3,"1,155",BEACFD
4,25,3,175,75,2,1,700,BEADCF
1,25,4,178,82,3,4,700,BEADFC
3,25,1,178,83,1,1,"1,600",BEAFCD
2,25,3,185,76,2,4,624,BEAFDC
3,25,7,180,85,3,3,550,BECADF
5,25,7,185,96,1,3,"21,000",BECAFD
6,25,1,171,69,1,3,800,BECDAF
6,25,1,178,85,4,1,"1,300",BECFAD
4,25,3,171,77,4,2,300,BECFDA
6,25,7,175,71,3,3,"1,650",BEDACF
5,25,7,176,83,1,3,700,BEDAFC
3,25,3,180,98,1,4,750,BEDCFA
5,25,4,178,85,1,1,"1,320",BEDFAC
5,25,5,181,89,1,1,825,BEDFCA
6,25,5,194,97,1,3,630,BEFACD
6,25,4,176,69,4,4,900,BEFADC
1,25,4,170,76,2,1,"3,320",BEFCDA
6,25,4,175,68,1,3,"1,000",BEFDAC
6,25,4,181,79,1,1,"2,900",BEFDCA
4,26,8,171,83,2,1,"7,000",BFACDE
3,26,2,177,80,1,1,300,BFACED
5,26,8,178,86,4,1,"1,300",BFADCE
3,26,8,184,89,1,1,"1,500",BFADEC
5,26,4,181,90,1,3,"1,500",BFAECD
